"","X","screen_name","user_id","prob_bot"
"631",79,"EngMh0",562201392,0.0614217059113989
"632",80,"cherryheaux_",624544753,0.117881760477821
"634",82,"MauriceVDC",589667846,0.199059769787753
"635",83,"1Fonzy_",447485726,0.330787637044583
"636",84,"SerghernandezG",190474603,0.483553721972015
"638",86,"prestoncmoore",2685590707,0.293958835571736
"639",87,"emtommasiello",2775764995,0.0262609516263184
"641",89,"iamediy_",3146930617,0.24171042803493
"645",93,"maggienova_",68031746,0.00979810458013119
"646",94,"iLead__followMe",30092524,0.466815410397429
"647",95,"baneoatmeal",259584484,0.472430657711019
"648",96,"RadipDiaz",412597161,0.137055365126908
"652",100,"letdsa",395493785,0.30004460902869
"654",102,"ilysmo2lching",2343087950,0.0308205130394552
"656",104,"skarthikdotin",306409016,0.0541200557732553
"657",105,"Nellnsfraa",241415781,0.046564816774831
"659",107,"WVSportsDotCom",24763873,0.0384629563087262
"663",111,"_gavinlestrade",279798410,0.160145424005414
"664",112,"audeocity",66695711,0.308036509654929
"665",113,"Sylvister_13",607247005,0.410587464229706
"666",114,"SergioGZ_",486100309,0.0244429904874796
"668",116,"BlckGh0st",138510908,0.182757594491261
"670",118,"1555FILMWORKS",16327842,0.0634543684171126
"675",123,"Javontejames_",3188859153,0.470211489586052
"676",124,"regorsnas",46180294,0.127045945392966
"680",128,"doloresrioja",121464710,0.313898029519871
"682",130,"baseyung",62740246,0.00897772064736836
"683",131,"PatBanahan",902905183,0.0571821336728533
"685",2,"chavoonly",102830473,0.453248273494396
"686",3,"defsool",619709347,0.0132485227745797
"687",4,"CTHennebry",54255558,0.0305127567033075
"688",5,"madcloutb",783321918,0.00573678677180737
"690",7,"papiharvs",515462715,0.119043223961998
"691",8,"wayyoff",61132537,0.00739786050106613
"693",10,"seth_leitman",23431221,0.0711315726237091
"696",13,"VirtuePuff",2463778345,0.167089806281496
"697",14,"robtswthrayguns",90661198,0.0213590338483012
"699",16,"AM_Sanchita2722",4356415879,0.471870856400626
"701",18,"AdamRam_",77926278,0.322641034984867
"702",19,"bs13gas",113720882,0.00485440681484468
"704",21,"TFlanders405",120831161,0.00255605583518055
"705",22,"chichikannisa",159401903,0.320897460153629
"708",25,"GhostBoyTwan4",464316487,0.00486403128171176
"710",27,"Piramachari",292185014,0.18644169663404
"711",28,"trbljiaerr",2583511463,0.020724110035206
"714",31,"andcav55",2229098803,0.0457810345320329
"715",32,"_Elpee",163461087,0.197231623880246
"716",33,"caoch77",50105447,0.474595853426434
